name,brand,category,subcategory,product url,product_id
"Greek Yogurt, Passionfruit Flavour, 2% M.F., 100G (Pack Of 4)",Oikos,Food,Dairy & Eggs,https://www.loblaws.ca/greek-yogurt-passionfruit-flavour-2-m-f-100g-pack/p/20903842001_EA,20903842001_EA
Kéfir 1% MF Mango,Liberte,Food,Dairy & Eggs,https://www.loblaws.ca/k-fir-1-mf-mango/p/21216411_EA,21216411_EA
Probiotic Yogurt 2.9 % M.F.,Activia,Food,Dairy & Eggs,https://www.loblaws.ca/probiotic-yogurt-2-9-m-f/p/20324741001_EA,20324741001_EA
Greek Cherry 2% MF Yogurt,Liberte,Food,Dairy & Eggs,https://www.loblaws.ca/greek-cherry-2-mf-yogurt/p/21305354_EA,21305354_EA
"Coffee-Mate, Original",Nestle,Food,Dairy & Eggs,https://www.loblaws.ca/coffee-mate-original/p/20319868_EA,20319868_EA
Tubes Mixed Berry,Yoplait,Food,Dairy & Eggs,https://www.loblaws.ca/tubes-mixed-berry/p/21389662_EA,21389662_EA
Tubes Limited Edition,Yoplait,Food,Dairy & Eggs,https://www.loblaws.ca/tubes-limited-edition/p/21390884002_EA,21390884002_EA
Stirred Yogourt Plain With A Touch Of Honey And Oats 2% M.F.,Astro,Food,Dairy & Eggs,https://www.loblaws.ca/stirred-yogourt-plain-with-a-touch-of-honey-and-oa/p/21401205_EA,21401205_EA
"Southern Butter Pecan Flavoured Coffee Creamer, 63 Servings",International Delight,Food,Dairy & Eggs,https://www.loblaws.ca/southern-butter-pecan-flavoured-coffee-creamer-63/p/20895480004_EA,20895480004_EA
"Coffee Creamer, Caramel",Baileys,Food,Dairy & Eggs,https://www.loblaws.ca/coffee-creamer-caramel/p/20895957001_EA,20895957001_EA
Cottage cheese,Western,Food,Dairy & Eggs,https://www.loblaws.ca/cottage-cheese/p/21109319_EA,21109319_EA
Vanilla 2.9% MF Yogurt,Liberte,Food,Dairy & Eggs,https://www.loblaws.ca/vanilla-2-9-mf-yogurt/p/21193614_EA,21193614_EA
Ultrafiltered Skim Milk 0% M.F.,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/ultrafiltered-skim-milk-0-m-f/p/21163396_EA,21163396_EA
"Yogurt, Vanilla 1.5%",IOGO,Food,Dairy & Eggs,https://www.loblaws.ca/yogurt-vanilla-1-5/p/20705470001_EA,20705470001_EA
"Organic Free-Range Large Brown Eggs, Club Pack (30 Count)",PC Organics,Food,Dairy & Eggs,https://www.loblaws.ca/organic-free-range-large-brown-eggs-club-pack-30-c/p/21205224001_EA,21205224001_EA
Yogurt Creamy 1.5% M.F.,Danone,Food,Dairy & Eggs,https://www.loblaws.ca/yogurt-creamy-1-5-m-f/p/20318746_EA,20318746_EA
Skim Milk,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/skim-milk/p/20172914_EA,20172914_EA
"Yogurt, Vanilla 1.5%",IOGO,Food,Dairy & Eggs,https://www.loblaws.ca/yogurt-vanilla-1-5/p/20705470001_EA,20705470001_EA
Lactose Free 2% M.F. Cottage Cheese,President's Choice,Food,Dairy & Eggs,https://www.loblaws.ca/lactose-free-2-m-f-cottage-cheese/p/20984624_EA,20984624_EA
"Organic Free-Range Large Brown Eggs, Club Pack (30 Count)",PC Organics,Food,Dairy & Eggs,https://www.loblaws.ca/organic-free-range-large-brown-eggs-club-pack-30-c/p/21205224001_EA,21205224001_EA
Yogurt Creamy 1.5% M.F.,Danone,Food,Dairy & Eggs,https://www.loblaws.ca/yogurt-creamy-1-5-m-f/p/20318746_EA,20318746_EA
Chocolate Milkshake,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/chocolate-milkshake/p/21040956_EA,21040956_EA
"Nordica Cottage Cheese, 2%",Gay Lea,Food,Dairy & Eggs,https://www.loblaws.ca/nordica-cottage-cheese-2/p/20021992002_EA,20021992002_EA
Crème Fraiche,Riviera,Food,Dairy & Eggs,https://www.loblaws.ca/cr-me-fraiche/p/20943822_EA,20943822_EA
"Coffee Creamer, Mudslide",Baileys,Food,Dairy & Eggs,https://www.loblaws.ca/coffee-creamer-mudslide/p/20943638_EA,20943638_EA
"Sour Cream, Regular 14%",Western,Food,Dairy & Eggs,https://www.loblaws.ca/sour-cream-regular-14/p/20787739001_EA,20787739001_EA
"Grade A Brown Eggs, Large",Burnbrae Farms,Food,Dairy & Eggs,https://www.loblaws.ca/grade-a-brown-eggs-large/p/20819472001_EA,20819472001_EA
"Coffee Creamer, Caramel",Baileys,Food,Dairy & Eggs,https://www.loblaws.ca/coffee-creamer-caramel/p/20895957001_EA,20895957001_EA
1% M.F. Light Cottage Cheese,No Name,Food,Dairy & Eggs,https://www.loblaws.ca/1-m-f-light-cottage-cheese/p/20183991001_EA,20183991001_EA
"Zip Yogurt, Limited Edition Game Over Edition Strawberry-Melon/Blueberry",IOGO,Food,Dairy & Eggs,https://www.loblaws.ca/zip-yogurt-limited-edition-game-over-edition-straw/p/20608449002_EA,20608449002_EA
Light Cream Cheese Product,Philadelphia,Food,Dairy & Eggs,https://www.loblaws.ca/light-cream-cheese-product/p/20866929003_EA,20866929003_EA
Trutaste Lactose Free 2% Milk,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/trutaste-lactose-free-2-milk/p/20188053001_EA,20188053001_EA
Cottage cheese,Western,Food,Dairy & Eggs,https://www.loblaws.ca/cottage-cheese/p/21109319_EA,21109319_EA
Vanilla 2.9% MF Yogurt,Liberte,Food,Dairy & Eggs,https://www.loblaws.ca/vanilla-2-9-mf-yogurt/p/21193614_EA,21193614_EA
Light 5% M.F. Sour Cream ,No Name,Food,Dairy & Eggs,https://www.loblaws.ca/light-5-m-f-sour-cream/p/20304664_EA,20304664_EA
Naturegg Free Run Omega 3 Eggs,Burnbrae Farms,Food,Dairy & Eggs,https://www.loblaws.ca/naturegg-free-run-omega-3-eggs/p/20816074001_EA,20816074001_EA
"Greek Yogurt, Passionfruit Flavour, 2% M.F., 100G (Pack Of 4)",Oikos,Food,Dairy & Eggs,https://www.loblaws.ca/greek-yogurt-passionfruit-flavour-2-m-f-100g-pack/p/20903842001_EA,20903842001_EA
Kéfir 1% MF Mango,Liberte,Food,Dairy & Eggs,https://www.loblaws.ca/k-fir-1-mf-mango/p/21216411_EA,21216411_EA
Probiotic Yogurt 2.9 % M.F.,Activia,Food,Dairy & Eggs,https://www.loblaws.ca/probiotic-yogurt-2-9-m-f/p/20324741001_EA,20324741001_EA
Cheez Whiz Cheese Spread,Kraft,Food,Dairy & Eggs,https://www.loblaws.ca/cheez-whiz-cheese-spread/p/20659606001_EA,20659606001_EA
Balkan Yogourt Mango Vanilla Cream 6% M.F.,Astro,Food,Dairy & Eggs,https://www.loblaws.ca/balkan-yogourt-mango-vanilla-cream-6-m-f/p/21354832_EA,21354832_EA
Coffee Whitener,No Name,Food,Dairy & Eggs,https://www.loblaws.ca/coffee-whitener/p/21163526_EA,21163526_EA
Original Chocolate Milkshake,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/original-chocolate-milkshake/p/21040974_EA,21040974_EA
Coffee Mate Double Double-Mate Liquid Coffee Enhancer,Nestle,Food,Dairy & Eggs,https://www.loblaws.ca/coffee-mate-double-double-mate-liquid-coffee-enhan/p/21091311_EA,21091311_EA
Coffee Mate Coffee Crisp Liquid Coffee Enhancer,Nestle,Food,Dairy & Eggs,https://www.loblaws.ca/coffee-mate-coffee-crisp-liquid-coffee-enhancer/p/21358520_EA,21358520_EA
Whipping Cream,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/whipping-cream/p/20773847_EA,20773847_EA
Grands! Cinnamon Rolls Flaky Supreme with Icing,Pillsbury,Food,Dairy & Eggs,https://www.loblaws.ca/grands-cinnamon-rolls-flaky-supreme-with-icing/p/20301101004_EA,20301101004_EA
"Drinkable Greek Yogurt With Banana, Oats, & Seeds, 9G Protein",Oikos,Food,Dairy & Eggs,https://www.loblaws.ca/drinkable-greek-yogurt-with-banana-oats-seeds-9g-p/p/21401296_EA,21401296_EA
"Creamy Yogurt, Strawberry-Vanilla, Peach-Vanilla, Cherry-Vanilla, Mango-Vanilla",Danone,Food,Dairy & Eggs,https://www.loblaws.ca/creamy-yogurt-strawberry-vanilla-peach-vanilla-che/p/20340442001_EA,20340442001_EA
Lactose Free Plain 2%  M.F. Yogurt,President's Choice,Food,Dairy & Eggs,https://www.loblaws.ca/lactose-free-plain-2-m-f-yogurt/p/20796737_EA,20796737_EA
"Yogurt With Probiotics- Blueberry, Vanilla (Pack Of 12)",Activia,Food,Dairy & Eggs,https://www.loblaws.ca/yogurt-with-probiotics-blueberry-vanilla-pack-of-1/p/20303412004_EA,20303412004_EA
"Grade A White Eggs, Large",Burnbrae Farms,Food,Dairy & Eggs,https://www.loblaws.ca/grade-a-white-eggs-large/p/20814818001_EA,20814818001_EA
Plain Probiotic 3% M.F. Yogurt,Sufra,Food,Dairy & Eggs,https://www.loblaws.ca/plain-probiotic-3-m-f-yogurt/p/21246557_EA,21246557_EA
Whipped Topping ,No Name,Food,Dairy & Eggs,https://www.loblaws.ca/whipped-topping/p/20017493_EA,20017493_EA
"Naturegg Omega 3 White Eggs, Large",Burnbrae Farms,Food,Dairy & Eggs,https://www.loblaws.ca/naturegg-omega-3-white-eggs-large/p/20815563001_EA,20815563001_EA
"Nano Drinkable Yogurt, Raspberry",IOGO,Food,Dairy & Eggs,https://www.loblaws.ca/nano-drinkable-yogurt-raspberry/p/20609687002_EA,20609687002_EA
"Creamy Yogurt Variety Pack, Strawberry, Vanilla, Fieldberry, Raspberry Flavour",Danone,Food,Dairy & Eggs,https://www.loblaws.ca/creamy-yogurt-variety-pack-strawberry-vanilla-fiel/p/21107384_EA,21107384_EA
Skim Milk,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/skim-milk/p/20176956_EA,20176956_EA
Phyllo Pastry,President's Choice,Food,Dairy & Eggs,https://www.loblaws.ca/phyllo-pastry/p/21288853_EA,21288853_EA
"Sport, Vanilla",Milk 2 Go,Food,Dairy & Eggs,https://www.loblaws.ca/sport-vanilla/p/20723286002_EA,20723286002_EA
Caramel Chocolate Milkshake,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/caramel-chocolate-milkshake/p/21040942_EA,21040942_EA
Trutaste Lactose Free 1% Milk,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/trutaste-lactose-free-1-milk/p/20150089_EA,20150089_EA
Naturegg Egg Whites,Burnbrae Farms,Food,Dairy & Eggs,https://www.loblaws.ca/naturegg-egg-whites/p/20820351001_EA,20820351001_EA
TruTaste 1% Milk,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/trutaste-1-milk/p/20126276_EA,20126276_EA
"Sour Cream, Fat Free 0%",Beatrice,Food,Dairy & Eggs,https://www.loblaws.ca/sour-cream-fat-free-0/p/20040338003_EA,20040338003_EA
Light Original Cream Cheese Product,No Name,Food,Dairy & Eggs,https://www.loblaws.ca/light-original-cream-cheese-product/p/21035629_EA,21035629_EA
White Chocolate Mocha Liquid Coffee Enhancer,Starbucks,Food,Dairy & Eggs,https://www.loblaws.ca/white-chocolate-mocha-liquid-coffee-enhancer/p/21358486_EA,21358486_EA
Plain Skyr Icelandic Style 0% M.F. Yogurt,President's Choice,Food,Dairy & Eggs,https://www.loblaws.ca/plain-skyr-icelandic-style-0-m-f-yogurt/p/20941014_EA,20941014_EA
Coffee Mate Coffee Enhancer Hazelnut Value Size,Nestle,Food,Dairy & Eggs,https://www.loblaws.ca/coffee-mate-coffee-enhancer-hazelnut-value-size/p/21303033_EA,21303033_EA
Cream Cheese Spread with Herbs & Roasted Garlic,No Name,Food,Dairy & Eggs,https://www.loblaws.ca/cream-cheese-spread-with-herbs-roasted-garlic/p/20911282_EA,20911282_EA
Turkish Cheese,Icim,Food,Dairy & Eggs,https://www.loblaws.ca/turkish-cheese/p/21367589_EA,21367589_EA
Banana 2% M.F. Greek Yogurt,President's Choice,Food,Dairy & Eggs,https://www.loblaws.ca/banana-2-m-f-greek-yogurt/p/21347778_EA,21347778_EA
"High Protein Greek Yogurt, Vanilla Flavour, Blended, Value Tub",Oikos,Food,Dairy & Eggs,https://www.loblaws.ca/high-protein-greek-yogurt-vanilla-flavour-blended/p/21305946_EA,21305946_EA
0% M.F. Vanilla Greek Yogurt,President's Choice,Food,Dairy & Eggs,https://www.loblaws.ca/0-m-f-vanilla-greek-yogurt/p/20691438001_EA,20691438001_EA
Coffee Mate After Eight Liquid Coffee Enhancer,Nestle,Food,Dairy & Eggs,https://www.loblaws.ca/coffee-mate-after-eight-liquid-coffee-enhancer/p/21405126_EA,21405126_EA
"Original Cream Cheese, Lactose Free",Philadelphia,Food,Dairy & Eggs,https://www.loblaws.ca/original-cream-cheese-lactose-free/p/21314936_EA,21314936_EA
"Homogenized Milk Microfiltered, 3.25% M.F.",Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/homogenized-milk-microfiltered-3-25-m-f/p/21239128_EA,21239128_EA
Plant Based Coconut Cream Cheese-Style Spread,President's Choice,Food,Dairy & Eggs,https://www.loblaws.ca/plant-based-coconut-cream-cheese-style-spread/p/21203935_EA,21203935_EA
2% M.F. Milk Protein Shake Made With Ultrafiltered Partly Skimmed Milk,Natrel,Food,Dairy & Eggs,https://www.loblaws.ca/2-m-f-milk-protein-shake-made-with-ultrafiltered-p/p/21443674_EA,21443674_EA
Free Run Egg Whites,PC Blue Menu,Food,Dairy & Eggs,https://www.loblaws.ca/free-run-egg-whites/p/20821366001_EA,20821366001_EA
"Super Bon-Ee Grade A White Eggs, Super Extra Large",Burnbrae Farms,Food,Dairy & Eggs,https://www.loblaws.ca/super-bon-ee-grade-a-white-eggs-super-extra-large/p/20814693001_EA,20814693001_EA
Dark Roasted Whole Bean Coffee,Kintore Coffee Co,Food,Dairy & Eggs,https://www.loblaws.ca/dark-roasted-whole-bean-coffee/p/21357753_EA,21357753_EA
Onion Dip,Philadelphia,Food,Dairy & Eggs,https://www.loblaws.ca/onion-dip/p/20299760001_EA,20299760001_EA
Greek Yogurt 2 % MF Plain,Liberte,Food,Dairy & Eggs,https://www.loblaws.ca/greek-yogurt-2-mf-plain/p/20646962001_EA,20646962001_EA
Chocolate Milk,Lactantia,Food,Dairy & Eggs,https://www.loblaws.ca/chocolate-milk/p/21239130_EA,21239130_EA
Vanilla Flavour,Milk 2 Go,Food,Dairy & Eggs,https://www.loblaws.ca/vanilla-flavour/p/20895935005_EA,20895935005_EA
"Probiotic Yogurt- Raspberry, Apple, Blackberry, Strawberry Flavor",Activia,Food,Dairy & Eggs,https://www.loblaws.ca/probiotic-yogurt-raspberry-apple-blackberry-strawb/p/20608924_EA,20608924_EA
Chocolate Dairy Beverage 2% M.F.,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/chocolate-dairy-beverage-2-m-f/p/21163395_EA,21163395_EA
"Grade A Brown Eggs, Extra-Large",Burnbrae Farms,Food,Dairy & Eggs,https://www.loblaws.ca/grade-a-brown-eggs-extra-large/p/20814694001_EA,20814694001_EA
