Ferrex Petrol Lawnmower,,,,718498613865800,https://www.aldi.co.uk/ferrex-petrol-lawnmower/p/718498613865800,£199.99 each,4.1 out of 5 stars. 24 reviews
Fire King Large Pizza Oven,,,,718840575111200,https://www.aldi.co.uk/fire-king-large-pizza-oven/p/718840575111200,£599.99 each,4.5 out of 5 stars. 83 reviews
Patio Heater With Bluetooth Speaker,,,,719739597935400,https://www.aldi.co.uk/patio-heater-with-bluetooth-speaker/p/719739597935400,£119.99 each,4.4 out of 5 stars. 5 reviews
Gardenline Grey Wooden Deck Chairs,,,,00000064419500,https://www.aldi.co.uk/gardenline-grey-wooden-deck-chairs/p/00000064419500,£59.98 ,4.3 out of 5 stars. 18 reviews
Natural Wooden Wishing Well Planter,,,,719469624000201,https://www.aldi.co.uk/natural-wooden-wishing-well-planter/p/719469624000201,£34.99 each,1.0 out of 5 stars. 1 review
Black Solar Flame Lanterns 2 Pack,,,,000000064438400,https://www.aldi.co.uk/black-solar-flame-lanterns-2-pack/p/000000064438400,£19.98 ,4.1 out of 5 stars. 38 reviews
Outdoor Diamond Tile Seat Pad Set,,,,718552578836800,https://www.aldi.co.uk/outdoor-diamond-tile-seat-pad-set/p/718552578836800,£12.99 each,4.9 out of 5 stars. 32 reviews
Gardenline Grey Step Planter,,,,811670608249500,https://www.aldi.co.uk/gardenline-grey-step-planter/p/811670608249500,£26.99 each,4.3 out of 5 stars. 9 reviews
Parallel Wood Decking Tiles 40 Pack,,,,000000615645600,https://www.aldi.co.uk/parallel-wood-decking-tiles-40-pack/p/000000615645600,£91.96 ,5.0 out of 5 stars. 3 reviews
Inflatable Hot Tub Maintenance Kit,,,,710387471901800,https://www.aldi.co.uk/inflatable-hot-tub-maintenance-kit/p/710387471901800,£14.99 each,4.4 out of 5 stars. 14 reviews
Bronze Solar Flame Lanterns 2 Pack,,,,000000064438500,https://www.aldi.co.uk/bronze-solar-flame-lanterns-2-pack/p/000000064438500,£19.98 ,3.9 out of 5 stars. 29 reviews
Grey Wooden Wishing Well Planter,,,,719470624000401,https://www.aldi.co.uk/grey-wooden-wishing-well-planter/p/719470624000401,£34.99 each,1.5 out of 5 stars. 2 reviews
Gardenline Woven Basket 3 Pack,,,,710964467651200,https://www.aldi.co.uk/gardenline-woven-basket-3-pack/p/710964467651200,£17.99 each,4.6 out of 5 stars. 35 reviews
Steel Border Solar Lights 4 Pack,,,,000000064438900,https://www.aldi.co.uk/steel-border-solar-lights-4-pack/p/000000064438900,£17.96 ,4.4 out of 5 stars. 19 reviews
Westland Rose Shrub Fertiliser,,,,718953580442500,https://www.aldi.co.uk/westland-rose-shrub-fertiliser/p/718953580442500,£4.99 each,4.8 out of 5 stars. 5 reviews
VTech Kidizoom HD Action Cam,,,,713053466445000,https://www.aldi.co.uk/vtech-kidizoom-hd-action-cam/p/713053466445000,£44.99 each,4.5 out of 5 stars. 4 reviews
Battery Powered Spotlight,,,,811642608301101,https://www.aldi.co.uk/battery-powered-spotlight/p/811642608301101,£15.99 each,4.6 out of 5 stars. 61 reviews
Inflatable Hot Tub Chemicals,,,,710369477477800,https://www.aldi.co.uk/inflatable-hot-tub-chemicals/p/710369477477800,£19.99 each,3.4 out of 5 stars. 34 reviews
Gardenline Portable Patio Heater,,,,716966596329800,https://www.aldi.co.uk/gardenline-portable-patio-heater/p/716966596329800,£44.99 each,4.0 out of 5 stars. 43 reviews
Crane Table Tennis Set,,,,714962596457300,https://www.aldi.co.uk/crane-table-tennis-set/p/714962596457300,£8.99 per set,4.8 out of 5 stars. 10 reviews
Paw Patrol Bubble Mower,,,,719605596680600,https://www.aldi.co.uk/paw-patrol-bubble-mower/p/719605596680600,£9.99 each,2.0 out of 5 stars. 44 reviews
Vela Solar Windspinner Stake Light,,,,719369603142801,https://www.aldi.co.uk/vela-solar-windspinner-stake-light/p/719369603142801,£16.99 each,4.3 out of 5 stars. 39 reviews
Intex Inflatable Hot Tub Lighting,,,,710372471901400,https://www.aldi.co.uk/intex-inflatable-hot-tub-lighting/p/710372471901400,£13.99 each,4.3 out of 5 stars. 8 reviews
Outdoor Yellow Leaf Seat Pad Set,,,,718552589574903,https://www.aldi.co.uk/outdoor-yellow-leaf-seat-pad-set/p/718552589574903,£12.99 each,4.9 out of 5 stars. 32 reviews
Feber Curve Water Slide,,,,712050505808400,https://www.aldi.co.uk/feber-curve-water-slide/p/712050505808400,£89.99 each,4.8 out of 5 stars. 14 reviews
Gardenline Beige Pop Up Gazebo,,,,812166599671800,https://www.aldi.co.uk/gardenline-beige-pop-up-gazebo/p/812166599671800,£79.99 each,3.3 out of 5 stars. 6 reviews
Parquet Wooden Decking Tiles 20 Pack,,,,000000606413900,https://www.aldi.co.uk/parquet-wooden-decking-tiles-20-pack/p/000000606413900,£45.98 ,5.0 out of 5 stars. 2 reviews
Inflatable Hot Tub LED Cup Holder,,,,710383471901600,https://www.aldi.co.uk/inflatable-hot-tub-led-cup-holder/p/710383471901600,£12.99 each,4.3 out of 5 stars. 8 reviews
Leaf Solar Windspinner Stake Light,,,,719369603143002,https://www.aldi.co.uk/leaf-solar-windspinner-stake-light/p/719369603143002,£16.99 each,4.3 out of 5 stars. 39 reviews
