Name,Category,Subcategory,Subcategory  Group,Product ID,Product URL,Price,Rating
Mens' Navy Cosy Pyjamas,Specialbuys,Clothing,,808935573858800,https://www.aldi.co.uk/mens%27-navy-cosy-pyjamas/p/808935573858800,£5.99 each,4.8 out of 5 stars. 26 reviews
Men's INOC Black Top,Specialbuys,Clothing,,808586553490301,https://www.aldi.co.uk/men%27s-inoc-black-top/p/808586553490301,£24.99 each,4.8 out of 5 stars. 89 reviews
Crane Kids' Blue Navy Snowset,Specialbuys,Clothing,,808273553438903,https://www.aldi.co.uk/crane-kids%27-blue-navy-snowset/p/808273553438903,£19.99 each,4.9 out of 5 stars. 39 reviews
Men's Arsenal Football Pyjamas,Specialbuys,Clothing,,809915561216501,https://www.aldi.co.uk/men%27s-arsenal-football-pyjamas/p/809915561216501,£6.99 each,4.6 out of 5 stars. 101 reviews
Black Maternity Leggings,Specialbuys,Clothing,,811667598058401,https://www.aldi.co.uk/black-maternity-leggings/p/811667598058401,£5.99 each,4.7 out of 5 stars. 6 reviews
White & Black Maternity Shirt 2 Pack,Specialbuys,Clothing,,804677479666200,https://www.aldi.co.uk/white-%26-black-maternity-shirt-2-pack/p/804677479666200,£9.99 per pack,4.7 out of 5 stars. 6 reviews
Grey & Lilac Mickey & Minnie Pyjamas,Specialbuys,Clothing,,810001573330102,https://www.aldi.co.uk/grey-%26-lilac-mickey-%26-minnie-pyjamas/p/810001573330102,£4.99 each,4.7 out of 5 stars. 21 reviews
Crane Kids' Hearts Snowset,Specialbuys,Clothing,,808273533035300,https://www.aldi.co.uk/crane-kids%27-hearts-snowset/p/808273533035300,£19.99 each,4.9 out of 5 stars. 39 reviews
Men's Navy 2-in-1 Outdoor Jacket,Specialbuys,Clothing,,807389553080901,https://www.aldi.co.uk/men%27s-navy-2-in-1-outdoor-jacket/p/807389553080901,£24.99 each,4.5 out of 5 stars. 32 reviews
Avenue Men's Navy Borg Hoody,Specialbuys,Clothing,,809329577813604,https://www.aldi.co.uk/avenue-men%27s-navy-borg-hoody/p/809329577813604,£9.99 each,4.6 out of 5 stars. 118 reviews
Avenue Ladies' White Canvas Trainers,Specialbuys,Clothing,,813586586808001,https://www.aldi.co.uk/avenue-ladies%27-white-canvas-trainers/p/813586586808001,£6.99 per pair,4.7 out of 5 stars. 19 reviews
