Name,Category,Subcategory,Category Shopping Group,Product ID,Product URL,Price,Rating
Spotty Baby Nursery Rug,Specialbuys,Baby & Toddler,Shop by Category,711826466243402,https://www.aldi.co.uk/spotty-baby-nursery-rug/p/711826466243402,£17.49 each,4.0 out of 5 stars. 4 reviews
Pip the Panda Travel Sleep Aid,Specialbuys,Baby & Toddler,Shop by Category,718255598067101,https://www.aldi.co.uk/pip-the-panda-travel-sleep-aid/p/718255598067101,£18.99 each,3.7 out of 5 stars. 3 reviews
Lily & Dan Blue Bear Gift Set,Specialbuys,Baby & Toddler,Shop by Category,806231492936501,https://www.aldi.co.uk/lily-%26-dan-blue-bear-gift-set/p/806231492936501,£6.99 per pack,4.5 out of 5 stars. 13 reviews
Pegasus Palace Training Pants,Specialbuys,Baby & Toddler,Shop by Category,720686611907305,https://www.aldi.co.uk/pegasus-palace-training-pants/p/720686611907305,£6.99 £4.45 per 100g,4.2 out of 5 stars. 5 reviews
Very Hungry Caterpillar Floor Puzzle,Specialbuys,Baby & Toddler,Shop by Category,711437574530802,https://www.aldi.co.uk/very-hungry-caterpillar-floor-puzzle/p/711437574530802,£7.99 each,4.8 out of 5 stars. 5 reviews
Paw Patrol Wooden Carry Along,Specialbuys,Baby & Toddler,Shop by Category,702646598062003,https://www.aldi.co.uk/paw-patrol-wooden-carry-along/p/702646598062003,£10.99 each,4.7 out of 5 stars. 15 reviews
Children's Books Floor Puzzle Set,Specialbuys,Baby & Toddler,Shop by Category,000000603140400,https://www.aldi.co.uk/children%27s-books-floor-puzzle-set/p/000000603140400,£23.97 ,
Lily & Dan Green Cloud Gift Set,Specialbuys,Baby & Toddler,Shop by Category,806231492936702,https://www.aldi.co.uk/lily-%26-dan-green-cloud-gift-set/p/806231492936702,£6.99 per pack,4.5 out of 5 stars. 13 reviews
Mamia Bunny Reusable Nappy,Specialbuys,Baby & Toddler,Shop by Category,719314612426800,https://www.aldi.co.uk/mamia-bunny-reusable-nappy/p/719314612426800,£4.99 each,4.0 out of 5 stars. 1 review
Auto XS Baby Headrest Mirror,Specialbuys,Baby & Toddler,Shop by Category,814956606430001,https://www.aldi.co.uk/auto-xs-baby-headrest-mirror/p/814956606430001,£8.99 each,
Tiger Who Came To Tea Floor Puzzle,Specialbuys,Baby & Toddler,Shop by Category,711437574530601,https://www.aldi.co.uk/tiger-who-came-to-tea-floor-puzzle/p/711437574530601,£7.99 each,4.8 out of 5 stars. 5 reviews
Hey Duggee Threading Game,Specialbuys,Baby & Toddler,Shop by Category,711157594985702,https://www.aldi.co.uk/hey-duggee-threading-game/p/711157594985702,£8.99 each,5.0 out of 5 stars. 1 review
Milk Baby Sleep Suit 3 Pack,Specialbuys,Baby & Toddler,Shop by Category,811675589973400,https://www.aldi.co.uk/milk-baby-sleep-suit-3-pack/p/811675589973400,£6.99 per pack,4.3 out of 5 stars. 3 reviews
