Name,Category,Subcategory,Price,Cup Price,Product_URL,Product_ID
Woolworths Sweet & Juicy Mandarins 750g Prepack,Fruit & Veg,Fruit ,3.50, $4.67 / 1KG ,http://www.woolworths.com.au/shop/productdetails/591940/woolworths-sweet-juicy-mandarins,591940
Bananas Kids 5 Pack,Fruit & Veg,Fruit ,0.0,,http://www.woolworths.com.au/shop/productdetails/106218/bananas-kids,106218
White Seedless Grapes Each,Fruit & Veg,Fruit ,0.0,,http://www.woolworths.com.au/shop/productdetails/138801/white-seedless-grapes,138801
Pineapple Naturally Sweet Whole Each,Fruit & Veg,Fruit ,3.90, $3.90 / 1EA ,http://www.woolworths.com.au/shop/productdetails/137534/pineapple-naturally-sweet,137534
Honeydew Large Half Each,Fruit & Veg,Fruit ,2.95, $2.95 / 1EA ,http://www.woolworths.com.au/shop/productdetails/113616/honeydew-large,113616
Lemon Fresh Each,Fruit & Veg,Fruit ,0.86, $0.86 / 1EA ,http://www.woolworths.com.au/shop/productdetails/259514/lemon-fresh,259514
The Odd Bunch Apples Prepacked 1kg,Fruit & Veg,Fruit ,2.70, $2.70 / 1KG ,http://www.woolworths.com.au/shop/productdetails/800763/the-odd-bunch-apples-prepacked,800763
Fresh Beurre Bosc Pear Each,Fruit & Veg,Fruit ,0.81, $0.81 / 1EA ,http://www.woolworths.com.au/shop/productdetails/145111/fresh-beurre-bosc-pear,145111
Kiwi Fruit Green 8 Pack,Fruit & Veg,Fruit ,5.90, $0.74 / 1EA ,http://www.woolworths.com.au/shop/productdetails/786152/kiwi-fruit-green,786152
Kanzi Apple Each,Fruit & Veg,Fruit ,1.05, $1.05 / 1EA ,http://www.woolworths.com.au/shop/productdetails/381923/kanzi-apple,381923
Lime Fresh Each,Fruit & Veg,Fruit ,0.89, $0.89 / 1EA ,http://www.woolworths.com.au/shop/productdetails/245902/lime-fresh,245902
Cavendish Bananas Each,Fruit & Veg,Fruit ,0.45, $0.45 / 1EA ,http://www.woolworths.com.au/shop/productdetails/133211/cavendish-bananas,133211
Mandarin Imperial Each,Fruit & Veg,Fruit ,0.35, $0.35 / 1EA ,http://www.woolworths.com.au/shop/productdetails/141410/mandarin-imperial,141410
Fresh Pink Lady Apples Each,Fruit & Veg,Fruit ,0.79, $0.79 / 1EA ,http://www.woolworths.com.au/shop/productdetails/105919/fresh-pink-lady-apples,105919
Woolworths Red Watermelon Cut Quarter Each,Fruit & Veg,Fruit ,6.38, $6.38 / 1EA ,http://www.woolworths.com.au/shop/productdetails/120384/woolworths-red-watermelon-cut-quarter,120384
Kiwi Fruit Green Each,Fruit & Veg,Fruit ,0.71, $0.71 / 1EA ,http://www.woolworths.com.au/shop/productdetails/139238/kiwi-fruit-green,139238
Woolworths Fresh Pink Lady Apples 1kg,Fruit & Veg,Fruit ,4.90, $4.90 / 1KG ,http://www.woolworths.com.au/shop/productdetails/310968/woolworths-fresh-pink-lady-apples,310968
Grapes Red Seedless Each,Fruit & Veg,Fruit ,3.71, $3.71 / 1EA ,http://www.woolworths.com.au/shop/productdetails/405838/grapes-red-seedless,405838
Fresh Strawberry 250g,Fruit & Veg,Fruit ,6.50, $26.00 / 1KG ,http://www.woolworths.com.au/shop/productdetails/144607/fresh-strawberry,144607
Fresh Packham Pear Each,Fruit & Veg,Fruit ,0.0,,http://www.woolworths.com.au/shop/productdetails/115330/fresh-packham-pear,115330
Orange Navel Each,Fruit & Veg,Fruit ,1.16, $1.16 / 1EA ,http://www.woolworths.com.au/shop/productdetails/259450/orange-navel,259450
Apple Royal Gala Each,Fruit & Veg,Fruit ,0.46, $0.46 / 1EA ,http://www.woolworths.com.au/shop/productdetails/155003/apple-royal-gala,155003
Mandarin Amorette Seedless Each,Fruit & Veg,Fruit ,0.71, $0.71 / 1EA ,http://www.woolworths.com.au/shop/productdetails/829107/mandarin-amorette-seedless,829107
Woolworths Fresh Food Kids Mini Pears 5 Pack,Fruit & Veg,Fruit ,2.50, $0.50 / 1EA ,http://www.woolworths.com.au/shop/productdetails/588302/woolworths-fresh-food-kids-mini-pears,588302
Fresh Raspberry 125g,Fruit & Veg,Fruit ,6.00, $48.00 / 1KG ,http://www.woolworths.com.au/shop/productdetails/165262/driscoll-s-fresh-raspberry,165262
Eat Later Cavendish Bananas Each,Fruit & Veg,Fruit ,0.45, $0.45 / 1EA ,http://www.woolworths.com.au/shop/productdetails/157649/eat-later-cavendish-bananas,157649
Fresh Granny Smith Apples Each,Fruit & Veg,Fruit ,0.86, $0.86 / 1EA ,http://www.woolworths.com.au/shop/productdetails/130935/fresh-granny-smith-apples,130935
Naturally Sweet Pineapple Half Each,Fruit & Veg,Fruit ,1.95, $1.95 / 1EA ,http://www.woolworths.com.au/shop/productdetails/143179/woolworths-naturally-sweet-pineapple,143179
Fresh Rockmelon Whole Each,Fruit & Veg,Fruit ,3.50, $3.50 / 1EA ,http://www.woolworths.com.au/shop/productdetails/139806/fresh-rockmelon-whole,139806
